frequency;H1-1R Barnes
427;4.50E+00
428;4.96E+00
429;5.13E+00
430;5.12E+00
431;5.35E+00
432;5.80E+00
433;5.96E+00
434;5.57E+00
435;5.02E+00
436;4.92E+00
437;5.28E+00
438;5.74E+00
439;6.22E+00
440;6.69E+00
441;6.90E+00
442;6.69E+00
443;6.35E+00
444;6.42E+00
445;6.95E+00
446;7.52E+00
447;7.89E+00
448;7.97E+00
449;7.75E+00
450;7.37E+00
451;7.13E+00
452;7.15E+00
453;7.13E+00
454;6.87E+00
455;6.67E+00
456;6.86E+00
457;7.10E+00
458;7.02E+00
459;6.84E+00
460;7.04E+00
461;7.44E+00
462;7.52E+00
463;7.31E+00
464;7.31E+00
465;7.65E+00
466;7.87E+00
467;7.73E+00
468;7.53E+00
469;7.56E+00
470;7.58E+00
471;7.24E+00
472;6.67E+00
473;6.35E+00
474;6.55E+00
475;6.90E+00
476;6.96E+00
477;6.57E+00
478;5.98E+00
479;5.84E+00
480;6.45E+00
481;7.14E+00
482;7.41E+00
483;7.47E+00
484;7.72E+00
485;8.05E+00
486;7.96E+00
487;7.40E+00
488;7.08E+00
489;7.61E+00
490;8.38E+00
491;8.73E+00
492;8.61E+00
493;8.34E+00
494;8.18E+00
495;8.18E+00
496;8.21E+00
497;8.16E+00
498;8.15E+00
499;8.51E+00
500;9.19E+00
501;9.66E+00
502;9.73E+00
503;9.85E+00
504;1.06E+01
505;1.17E+01
506;1.22E+01
507;1.21E+01
508;1.16E+01
509;1.12E+01
510;1.11E+01
511;1.13E+01
512;1.20E+01
513;1.29E+01
514;1.38E+01
515;1.42E+01
516;1.42E+01
517;1.41E+01
518;1.40E+01
519;1.41E+01
520;1.46E+01
521;1.53E+01
522;1.59E+01
523;1.59E+01
524;1.56E+01
525;1.58E+01
526;1.63E+01
527;1.65E+01
528;1.62E+01
529;1.58E+01
530;1.60E+01
531;1.68E+01
532;1.78E+01
533;1.86E+01
534;1.92E+01
535;1.97E+01
536;2.00E+01
537;2.04E+01
538;2.09E+01
539;2.12E+01
540;2.12E+01
541;2.06E+01
542;1.98E+01
543;1.92E+01
544;1.88E+01
545;1.84E+01
546;1.75E+01
547;1.64E+01
548;1.52E+01
549;1.42E+01
550;1.33E+01
551;1.24E+01
552;1.16E+01
553;1.10E+01
554;1.03E+01
